"Violation ID","Primary Building Identifier","Primary Boro Identifier","Primary Borough Name","Primary House Number","Primary Low House Number","Primary High House Number","Primary Street Name","Primary Postcode","Development Name","TDS Number","Stairhall Number","NYCHA Address Section BoroID","NYCHA Address Section Borough","NYCHA Address Section House Number","NYCHA Address Section Street Name","NYCHA Address Section PostCode","Apartment","Story","Block","Lot","Violation Description","Class","Inspection Date","Approved Date","Order Number","Issued in Error","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)"
"18682308","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT THE NORTH WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","508","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18682309","804633","1","MANHATTAN","430","430","434","EAST 105 STREET","10029","EAST RIVER","9","8","1","MANHATTAN","430","EAST 105 STREET","10029","4D","4","01696","0001","§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT NORTH WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 4D, 4th STORY, 2nd APARTMENT FROM WEST AT NORTH","B","03/03/2026","03/03/2026","583","N","40.788458","-73.939411","111","8","1083947","1016960001","162","MN1101"
"18684564","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE INSTALLED WOODEN TILES BROKEN  .  IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","B","03/04/2026","03/04/2026","502","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684565","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","C","03/04/2026","03/04/2026","568","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684566","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","C","03/04/2026","03/04/2026","569","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684567","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2005, 2012 HMC & § 309 MDL: ABATE THE NUISANCE CONSISTING OF EXCESSIVE STORAGE OF MATERIAL EXCESSIVE HOARDING  IN THE  ENTIRE APARTMENT  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","B","03/04/2026","03/04/2026","549","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684568","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... LESS THAN 10SQ.FT AT AT EAST WALL  IN THE  KITCHEN  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","A","03/04/2026","03/04/2026","550","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684569","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND WALLS  IN THE  KITCHEN  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","B","03/04/2026","03/04/2026","508","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684574","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT NORTH AND SOUTH WALL  IN THE  PRIVATE HALLWAY  LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","B","03/04/2026","03/04/2026","508","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
"18684575","806867","2","BRONX","805","805","815","PELHAM PARKWAY NORTH","10467","PELHAM PARKWAY","39","35","2","BRONX","805","PELHAM PARKWAY NORTH","10467","4D","4","04349","0001","§ 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND WALLS  IN THE  3rd ROOM  FROM EAST LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM NORTH AT EAST","B","03/04/2026","03/04/2026","508","N","40.857952","-73.863229","211","13","2093365","2043490001","328","BX1104"
